gene,category,partial_r_age,ci_lo,ci_hi,p,fdr,median_tpm
ESRRA,mito_biogenesis,-0.214,-0.283,-0.143,7.5e-09,2.1e-07,108.65
GCLM,redox_glutathione,-0.145,-0.216,-0.072,1.1e-04,7.5e-04,10.59
GSR,redox_glutathione,-0.145,-0.216,-0.072,1.0e-04,9.4e-04,20.2
SOD2,redox_glutathione,-0.142,-0.213,-0.069,1.5e-04,8.4e-04,501.75
NMNAT1,nad,-0.104,-0.176,-0.031,5.3e-03,1.9e-02,7.13
FBXO32,muscle_atrophy_markers,-0.088,-0.16,-0.015,1.9e-02,4.8e-02,474.8
PINK1,mitophagy_autophagy,-0.083,-0.155,-0.009,2.7e-02,6.7e-02,85.53
COX4I1,mito_biogenesis,-0.081,-0.153,-0.007,3.1e-02,7.3e-02,230.1
SOD1,redox_glutathione,-0.071,-0.143,0.003,5.9e-02,1.2e-01,134.9
PAX7,muscle_atrophy_markers,-0.059,-0.132,0.015,1.2e-01,2.1e-01,1.43
TRIM63,muscle_atrophy_markers,-0.055,-0.128,0.019,1.4e-01,2.5e-01,841.5
SQSTM1,mitophagy_autophagy,-0.048,-0.121,0.026,2.0e-01,3.3e-01,150.9
PARP1,nad,-0.037,-0.11,0.036,3.2e-01,4.6e-01,31.34
GCLC,redox_glutathione,-0.034,-0.107,0.04,3.7e-01,5.0e-01,5.23
SLC6A6,taurine,-0.032,-0.105,0.042,4.0e-01,5.3e-01,19.84
TNF,senescence_inflammaging,-0.032,-0.105,0.042,4.0e-01,5.2e-01,0.08
NMRK2,nad,-0.03,-0.104,0.043,4.2e-01,5.1e-01,225.8
ODC1,polyamine_spermidine,-0.028,-0.102,0.045,4.5e-01,5.4e-01,88.13
EIF5A,polyamine_spermidine,-0.014,-0.088,0.059,7.0e-01,8.0e-01,192.2
BECN1,mitophagy_autophagy,-0.013,-0.086,0.06,7.3e-01,8.1e-01,45.14
TFAM,mito_biogenesis,-0.009,-0.082,0.065,8.2e-01,8.8e-01,5.9
AMD1,polyamine_spermidine,-0.004,-0.077,0.07,9.2e-01,9.5e-01,19.98
PPARGC1A,mito_biogenesis,-0.003,-0.076,0.071,9.4e-01,9.6e-01,11.06
MYOD1,muscle_atrophy_markers,0.002,-0.071,0.076,9.5e-01,9.5e-01,21.55
NFE2L2,redox_glutathione,0.008,-0.066,0.081,8.3e-01,8.8e-01,28.83
NFKB1,senescence_inflammaging,0.012,-0.061,0.085,7.5e-01,8.2e-01,11.46
MSTN,muscle_atrophy_markers,0.019,-0.054,0.093,6.1e-01,7.1e-01,1.33
NADSYN1,nad,0.031,-0.042,0.104,4.0e-01,5.1e-01,3.4
NAMPT,nad,0.031,-0.042,0.104,4.1e-01,5.1e-01,26.23
SAT1,polyamine_spermidine,0.034,-0.039,0.107,3.6e-01,5.0e-01,23.06
TP53,senescence_inflammaging,0.041,-0.033,0.114,2.8e-01,4.1e-01,5.1
ULK1,mitophagy_autophagy,0.042,-0.031,0.115,2.6e-01,3.9e-01,67.71
GPX1,redox_glutathione,0.046,-0.028,0.119,2.2e-01,3.4e-01,77.84
NDUFA9,mito_biogenesis,0.047,-0.027,0.12,2.1e-01,3.4e-01,24.91
CAT,redox_glutathione,0.051,-0.023,0.124,1.8e-01,3.0e-01,55.67
MAP1LC3B,mitophagy_autophagy,0.065,-0.008,0.138,8.1e-02,1.5e-01,80.9
COL3A1,fibrosis_composition_CONFOUND,0.067,-0.006,0.14,7.2e-02,1.4e-01,13.84
CDO1,taurine,0.07,-0.003,0.143,6.2e-02,1.2e-01,3.91
BNIP3,mitophagy_autophagy,0.071,-0.003,0.144,5.9e-02,1.3e-01,63.54
BNIP3L,mitophagy_autophagy,0.078,0.004,0.15,3.8e-02,8.5e-02,17.57
CXCL9,senescence_inflammaging,0.091,0.018,0.164,1.5e-02,4.0e-02,0.31
SRM,polyamine_spermidine,0.092,0.019,0.164,1.4e-02,3.9e-02,63.97
ATG7,mitophagy_autophagy,0.096,0.022,0.168,1.1e-02,3.1e-02,3.3
CS,mito_biogenesis,0.098,0.025,0.17,9.0e-03,2.8e-02,240.8
CDKN1A,senescence_inflammaging,0.1,0.027,0.172,7.4e-03,2.4e-02,109.95
GLB1,senescence_inflammaging,0.107,0.034,0.179,4.3e-03,1.6e-02,4.25
COL1A2,fibrosis_composition_CONFOUND,0.116,0.043,0.187,2.0e-03,8.0e-03,15.1
COL1A1,fibrosis_composition_CONFOUND,0.129,0.056,0.2,5.8e-04,2.5e-03,7.09
CSAD,taurine,0.137,0.064,0.208,2.5e-04,1.2e-03,6.33
IL6,senescence_inflammaging,0.139,0.066,0.21,2.1e-04,1.0e-03,0.89
NRF1,mito_biogenesis,0.144,0.071,0.215,1.1e-04,7.0e-04,7.92
PDGFRA,fibrosis_composition_CONFOUND,0.145,0.072,0.216,1.0e-04,8.4e-04,4.71
SMS,polyamine_spermidine,0.147,0.075,0.218,7.9e-05,8.8e-04,20.25
SDHA,mito_biogenesis,0.171,0.099,0.242,4.2e-06,5.8e-05,236.65
DHPS,polyamine_spermidine,0.195,0.123,0.264,1.6e-07,3.0e-06,56.99
CDKN2A,senescence_inflammaging,0.291,0.222,0.357,2.3e-15,1.3e-13,0.06
